avg_size,len,bytes,long_enough,arm_chosen,delta_bmr,stored,type_idx
19911.2,1055,21006336,0,0,0,0,9
12514.8,1061,13278208,0,0,0,0,9
18848.6,1025,19319808,0,0,0,0,9
19649.4,1427,28039680,0,0,0,0,9
8522.35,1119,9536512,0,0,0,0,9
9735.29,1123,10932736,0,0,0,0,9
7449.05,1022,7612928,0,0,0,0,9
15045.8,1038,15617536,0,0,0,0,9
13775.7,1029,14175232,0,0,0,0,4
13524.3,1025,13862400,0,0,0,0,9
11581,1024,11858944,0,0,0,0,9
10739.2,1078,11576832,0,0,0,0,9
10410.3,1028,10701824,0,0,0,0,9
11223.8,1056,11852288,0,0,0,0,9
12825.1,1039,13325312,0,0,0,0,9
36552.7,1074,39257600,0,0,-0.334771,0,4
58593.4,1161,68026880,0,0,0,0,8
14623.4,1101,16100352,0,0,0,0,8
11257,1164,13103104,0,0,0,0,8
12624,1053,13293056,0,0,0,0,8
10944.2,927,10145280,0,0,0,0,8
8930.73,621,5545984,0,0,0,0,8
8235,1393,11471360,0,0,0,0,8
8618.88,1221,10523648,0,0,0,0,8
8886.54,1136,10095104,0,0,0,0,8
9230.3,1038,9581056,0,0,0,0,8
12325.7,1031,12707840,0,0,0,0,8
13789.6,1011,13941248,0,0,0,0,8
10978.1,1044,11461120,0,0,0,0,8
9834.56,1033,10159104,0,0,0,0,8
10062.5,1053,10595840,0,0,0,0,8
10573.7,1011,10690048,0,0,0,0,9
9435.15,1049,9897472,0,0,0,0,9
10231.7,1047,10712576,0,0,0,0,9
8793.93,1002,8811520,0,0,0,0,9
9299.54,1048,9745920,0,0,0,0,9
9598.42,1051,10087936,0,0,0,0,9
8405.33,1008,8472576,0,0,0,0,9
10910.5,604,6589952,0,0,0,0,9
11905.8,1018,12120064,0,0,0,0,9
54864.2,811,44494848,0,0,0,0,4
8393.13,1031,8653312,0,0,0,0,4
11031.3,1032,11384320,0,0,0,0,4
6688.88,1121,7498240,0,0,0,0,4
8792.83,1441,12670464,0,0,0,0,4
9862.6,1221,12042240,0,0,0,0,4
7648.48,1056,8076800,0,0,0,0,0
8306.36,1379,11454464,0,0,0,0,0
8230.84,1437,11827712,0,0,0,0,0
8587.09,1362,11695616,0,0,0,0,0
11956.1,1032,12338688,0,0,0,0,0
8193.02,1002,8209408,0,0,0,0,0
10571.5,1004,10613760,0,0,0,0,0
10615.1,1036,10997248,0,0,0,0,0
16538.7,960,15877120,0,0,0,0,0
10524.2,1052,11071488,0,0,0,0,0
15740.7,1018,16024064,0,0,0,0,0
12276.9,1017,12485632,0,0,0,0,9
10302.9,1002,10323456,0,0,0,0,9
12597.4,1006,12673024,0,0,0,0,9
16608.1,1010,16774144,0,0,0,0,9
13551.3,1014,13741056,0,0,0,0,9
11436.4,1013,11585024,0,0,0,0,9
11123.6,1050,11679744,0,0,0,0,9
12705.4,1001,12718080,0,0,0,0,9
16263,1024,16653312,0,0,0,0,9
18033.3,1003,18087424,0,0,0,0,9
8197.38,1143,9369600,0,0,0,0,2
15885,1027,16313856,0,0,0,0,2
16797.8,1011,16982528,0,0,0,0,2
14455.4,1025,14816768,0,0,0,0,2
14728.8,1289,18985472,0,0,0,0,2
13757.6,1095,15064576,0,0,0,0,2
16826.3,1006,16927232,0,0,0,0,2
6481.06,1118,7245824,0,0,0,0,2
8794.74,1010,8882688,0,0,0,0,2
13450.6,1064,14311424,0,0,0,0,2
15040.7,1071,16108544,0,0,0,0,2
13503.8,1009,13625344,0,0,0,0,2
13958.7,1140,15912960,0,0,0,0,2
13313,1014,13499392,0,0,0,0,2
14888.1,1021,15200768,0,0,0,0,2
14417.2,1022,14734336,0,0,0,0,2
21261.9,679,14436864,0,0,0,0,2
10652.1,938,9991680,0,0,0,0,2
15487.4,1005,15564800,0,0,0,0,2
