write_ratio,avg_request_size,size_variance,singleton_ratio,popularity_skewness,avg_frequency,object_diversity,avg_reuse_distance,sequentiality_ratio,out_cache_hit_rate,request_rate,burstiness_index,arrival_time_variance,working_set_byte_delta,scan_ratio
0,26444,6.2983e+09,0.58252,2.84373,1.39237,0.718201,17302.7,0.727966,0.0826416,0.618427,1.40048,5.12833,1.89277e+08,0.628052
0,29106.3,6.82123e+09,0.550598,3.25951,1.45261,0.688416,16964,0.705322,0.0977173,0.631512,1.36246,4.65463,1.95214e+08,0.5979
0,32573.4,7.81497e+09,0.522339,3.6613,1.52779,0.654541,16289.7,0.683228,0.111755,0.666685,1.29764,3.78848,2.00782e+08,0.563538
0,34161.8,8.08654e+09,0.501831,3.61524,1.57979,0.632996,16013.1,0.676758,0.118652,0.706141,1.2847,3.30995,2.0354e+08,0.542908
0,36654.3,8.74188e+09,0.486328,4.03025,1.62491,0.615417,15965.6,0.654236,0.121887,0.724983,1.26825,3.06021,2.13966e+08,0.520081
0,37509.4,9.21322e+09,0.490601,4.02863,1.61833,0.61792,16050.4,0.65802,0.124695,0.753269,1.26868,2.83664,2.21231e+08,0.524597
0,38298.8,9.81423e+09,0.495422,3.99465,1.61212,0.6203,16557.4,0.657593,0.125183,0.750918,1.30629,3.02616,2.26707e+08,0.529419
0,39048.4,1.02267e+10,0.491638,4.17354,1.6254,0.615234,17032.5,0.64325,0.12677,0.775227,1.30383,2.82869,2.33351e+08,0.528931
0,39355.7,1.04875e+10,0.477539,4.34617,1.65012,0.606018,17256.7,0.637695,0.133667,0.796672,1.27251,2.55132,2.34863e+08,0.52832
0,39281.2,1.05817e+10,0.50415,4.30082,1.61705,0.618408,18186.6,0.638489,0.131104,0.825949,1.27333,2.37671,2.26485e+08,0.574768
0,39828,1.09444e+10,0.506104,4.30115,1.6161,0.618774,18289.1,0.638428,0.128967,0.832215,1.27333,2.34105,2.26585e+08,0.57843
0,40824.6,1.20081e+10,0.502625,4.36945,1.62138,0.61676,19234.2,0.642517,0.119141,0.823912,1.29262,2.46137,2.4476e+08,0.600891
0,37051.1,1.09806e+10,0.551331,3.63184,1.52254,0.656799,13493,0.660583,0.116577,0.828988,1.28965,2.42019,2.3269e+08,0.623108
0,32539.2,1.01984e+10,0.615662,2.9378,1.40214,0.713196,13260.6,0.691406,0.0982666,0.85358,1.29134,2.28873,2.22442e+08,0.671875
0,26935.8,8.67387e+09,0.685547,2.37738,1.29743,0.770752,12472.8,0.717163,0.0736694,0.846426,1.25353,2.19326,2.0827e+08,0.720642
0,22746.2,7.55833e+09,0.751648,1.92786,1.21318,0.82428,13156.9,0.742676,0.045166,0.864359,1.25134,2.09587,1.99114e+08,0.779968
0,19071.4,6.39597e+09,0.787598,2.40984,1.17431,0.851562,15267.8,0.743896,0.0292358,0.867577,1.30135,2.24994,1.92115e+08,0.8078
0,16510,5.91183e+09,0.832275,2.73425,1.13431,0.881592,17175.5,0.759094,0.019104,0.838295,1.31398,2.45687,1.84827e+08,0.850342
0,13437.4,4.85348e+09,0.879761,2.38212,1.09643,0.912048,18239.9,0.789429,0.0137329,0.819577,1.33947,2.67108,1.66983e+08,0.882568
0,13079.4,4.64895e+09,0.882202,2.37478,1.09475,0.913452,18216.3,0.790344,0.0114136,0.836071,1.33755,2.55939,1.62895e+08,0.886902
